,dist_sth,sys_name,n,V_s,V_dS,V_sS
6,168,W Delaware County,0.9305925670042192,110104,0.6343726294905958,0.29621993751362347
5,61,Central MontCo,0.8600878287277631,205865,0.6998663243438222,0.16022150438394092
23,146,W Montgomery County,0.8254259893440138,136057,0.6307355287282425,0.19469046061577133
14,200,Chestnut Hill-Mt. Airy,0.8165852234939255,134297,0.5930880493202656,0.22349717417365988
36,48,Washington,0.7342471437194198,82614,0.4748116969428445,0.2594354467765754
25,48,Canonsburg-South Fayette,0.685830662508949,206864,0.5629818342933097,0.12284882821563926
30,18,Lower Bucks County,0.6450465303644117,281220,0.5637969748562687,0.08124955550814308
39,152,SE Montgomery County,0.6233309810678289,118954,0.45255067943862776,0.17078030162920121
28,178,Central Bucks County,0.5797960748375275,209043,0.4664461898856277,0.11334988495189985
33,29,Central Bucks County,0.5677975629024122,209043,0.46161845142773955,0.10617911147467267
32,105,Harrisburg East,0.5627859957713319,217578,0.45848317103721364,0.10430282473411834
38,106,Harrisburg East,0.5447743961594662,217578,0.4511527983876326,0.09362159777183356
40,160,W Delaware County,0.5393300965392929,149019,0.4088433800803179,0.13048671645897503
26,105,HLLY Interconnect,0.5181950327642346,1266676,0.49870701846539256,0.019488014298842008
34,106,HLLY Interconnect,0.5082233418320338,1266676,0.4907311023011672,0.017492239530866614
35,161,E Delaware County,0.49839589697192604,399568,0.4442073733664321,0.054188523605493935
37,165,E Delaware County,0.49180157358518867,399568,0.4390370879406926,0.052764485644496054
46,144,Central Bucks County,0.478860702871426,209043,0.39170160163388157,0.08715910123754443
42,151,Central MontCo,0.4742926209863951,386580,0.42557566718640544,0.04871695379998965
49,157,W Montgomery County,0.4716785875380116,136057,0.3526108438717541,0.11906774366625753
44,162,E Delaware County,0.46961429685465056,390217,0.4223892912808288,0.04722500557382175
52,161,W Delaware County,0.4481446585021449,110104,0.3106292185544591,0.13751543994768584
47,30,North Hills-Fox Chapel,0.4391887404570066,212850,0.35770412687936975,0.08148461357763684
53,44,Hopewell-Moon,0.4288758797862181,103104,0.2915097252238345,0.1373661545623836
45,178,Lower Bucks County,0.42725101921143915,279112,0.36146380834268393,0.06578721086875519
51,120,Upper Metro,0.4111863533743588,259905,0.35269959859857536,0.05848675477578346
41,161,Verizon-Philadelphia,0.40226060986630935,2686670,0.39509262868514455,0.0071679811811647875
50,29,Lower Bucks County,0.39025325873463496,279112,0.33290352099494624,0.057349737739688725
55,30,AK Valley,0.3887199290110518,142666,0.29011900096933196,0.09860092804171983
48,114,Wilkes Barre Super Zone,0.3800776970090951,864367,0.36130095055764566,0.01877674645144944
57,114,Upper Metro,0.37590304150690695,207760,0.30907593330513566,0.06682710820177128
58,152,Lower Bucks County,0.3470599127471198,279112,0.29897527288928494,0.04808463985783485
56,120,Wilkes Barre Super Zone,0.33923320143192276,848669,0.32283811689366343,0.01639508453825932
54,160,Chester County,0.3343270789065722,387091,0.2977439498748975,0.036583129031674724
62,144,Upper Bucks County,0.331216776530434,177046,0.26230248306997744,0.0689142934604566
65,58,Greensburg,0.3234292145844684,132265,0.24855679935746197,0.07487241522700638
61,26,Chester County,0.3203518069596654,387091,0.28813715975784465,0.03221464720182076
73,58,Mon Valley-McKeesport,0.31357718718373684,77320,0.20694242256914813,0.10663476461458872
60,152,Central MontCo,0.3115640550216964,386580,0.2791490309645801,0.03241502405711625
63,26,W Montgomery County,0.30408556394054465,223088,0.25467905171218636,0.04940651222835832
71,49,Mon Valley-McKeesport,0.3032877003442739,109059,0.2270629045915162,0.07622479575275769
64,177,NE Philadelphia,0.2949555931363361,275642,0.25823404852412174,0.03672154461221439
59,168,E Delaware County,0.2903947667211162,399568,0.2572890125065645,0.03310575421455172
72,202,NE Philadelphia,0.2732721702987629,270551,0.2427936283602744,0.030478541938488493
75,151,SE Montgomery County,0.23882341908874755,118954,0.174067294872664,0.06475612421608352
67,157,Chester County,0.23574941934874677,233294,0.19696145223429032,0.03878796711445644
69,48,Uniontown,0.23190182630845274,225642,0.19324324324324324,0.038658583065209494
89,50,Washington,0.2261463606358523,41991,0.12441027433164424,0.10173608630420805
66,131,Svc Electric-Lehigh Valley,0.22436288618630626,445335,0.2026488955949537,0.021713990591352577
81,114,Carbondale,0.2169451141295145,55041,0.11945415284610761,0.09749096128340691
