dist_sth,sys_code,sys_name,sys_media,sys_voters,sys_voters_indist,sys_voters_satur,sys_voter_waste,sys_voter_waste_perc,sys_voter_satur_perc
49,636,Mon Valley-McKeesport,Comcast,109059,20471,8313.0,100746.0,92.38,7.62
49,637,Uniontown,Comcast,112132,12344,2722.0,109410.0,97.57000000000001,2.43
49,1290,Washington,Comcast,41311,335,186.0,41125.0,99.55000000000001,0.45
49,2422,DirecTV- I+ Pittsburgh,Comcast,1718013,32338,3519.0,1714494.0,99.8,0.2
49,2456,DISH- I+ Pittsburgh,Comcast,1718013,32338,1446.0,1716567.0,99.92,0.08
49,4936,Canonsburg-South Fayette,Comcast,104356,1628,578.0,103778.0,99.45,0.55
49,6132,Cranberry-Butler,Comcast,242111,2574,1120.0,240991.0,99.53999999999999,0.46
49,6133,Fay West-California,Comcast,144749,15578,3752.0,140997.0,97.41,2.59
49,6688,Pittsburgh Interconnect,Comcast,1791991,32338,24202.0,1767789.0,98.65,1.35
